sample	seedcat	seed	cof	site	mus	bar	obs	rumbo	rumbcat	pool	abseed	abper	obs1	obs2	obs3	obs4	or1	or2	or3	or4	or5	long	alt	potseed	potmus	potper	pendiente
1	1	0	15053	1	0	0	1	186	4	5	3	2	1	0	0	0	0	0	0	1	0	0	0.31	25.5	20.5	8	0.52
2	1	0	15053	1	0	0	1	186	4	5	3	2	1	0	0	0	0	0	0	1	0	0.5	0.57	25.5	20.5	8	0.50
3	1	0	15053	1	0	0	1	186	4	5	3	2	1	0	0	0	0	0	0	1	0	1	0.82	25.5	20.5	8	0.52
4	1	0	15053	1	0	0	1	186	4	5	3	2	1	0	0	0	0	0	0	1	0	1.5	1.08	25.5	20.5	8	0.50
5	1	0	15053	1	0	0	1	186	4	5	3	2	1	0	0	0	0	0	0	1	0	2	1.33	25.5	20.5	8	0.52
6	1	0	15053	1	0	0	1	186	4	5	3	2	1	0	0	0	0	0	0	1	0	2.5	1.59	25.5	20.5	8	0.50
7	2	20	15053	1	0	0	1	186	4	5	3	2	1	0	0	0	0	0	0	1	0	3	1.84	25.5	20.5	8	0.52
8	2	15	15053	1	0	0	1	186	4	5	3	2	1	0	0	0	0	0	0	1	0	3.5	2.1	25.5	20.5	8	0.50
9	3	40	15053	1	0	5	1	186	4	5	3	2	1	0	0	0	0	0	0	1	0	4	2.35	25.5	20.5	8	0.52
10	3	30	15053	1	0	5	1	186	4	5	3	2	1	0	0	0	0	0	0	1	0	4.5	2.61	25.5	20.5	8	0.06
11	3	30	15053	1	0	0	1	186	4	5	3	2	1	0	0	0	0	0	0	1	0	5	2.64	25.5	20.5	8	0.08
12	1	5	15053	1	0	0	1	186	4	5	3	2	1	0	0	0	0	0	0	1	0	5.5	2.68	25.5	20.5	8	0.06
13	1	5	15053	1	0	0	1	186	4	5	3	2	1	0	0	0	0	0	0	1	0	6	2.71	25.5	20.5	8	0.06
14	1	5	15053	1	0	0	1	186	4	5	3	2	1	0	0	0	0	0	0	1	0	6.5	2.74	25.5	20.5	8	0.08
15	1	5	15053	1	0	0	1	186	4	5	3	2	1	0	0	0	0	0	0	1	0	7	2.78	25.5	20.5	8	0.06
16	3	40	15053	1	10	0	1	186	4	5	3	2	1	0	0	0	0	0	0	1	0	7.5	2.81	25.5	20.5	8	-0.24
17	2	20	15053	1	20	0	1	186	4	5	3	2	1	0	0	0	0	0	0	1	0	8	2.69	25.5	20.5	8	-0.24
18	2	15	15053	1	20	0	1	186	4	5	3	2	1	0	0	0	0	0	0	1	0	8.5	2.57	25.5	20.5	8	-0.24
19	1	5	15053	1	20	0	2	186	4	5	3	2	0	1	0	0	0	0	0	1	0	9	2.45	25.5	20.5	8	-0.24
20	1	0	15053	1	10	0	2	186	4	5	3	2	0	1	0	0	0	0	0	1	0	9.5	2.33	25.5	20.5	8	-0.24
21	1	0	15053	1	20	0	2	186	4	5	3	2	0	1	0	0	0	0	0	1	0	10	2.21	25.5	20.5	8	-0.24
22	2	10	15053	1	40	0	2	186	4	5	3	2	0	1	0	0	0	0	0	1	0	10.5	2.09	25.5	20.5	8	-0.24
23	4	55	15053	1	25	0	1	186	4	5	3	2	1	0	0	0	0	0	0	1	0	11	1.97	25.5	20.5	8	-0.24
24	3	40	15053	1	15	0	1	186	4	5	3	2	1	0	0	0	0	0	0	1	0	11.5	1.85	25.5	20.5	8	-0.24
25	4	70	15053	1	0	0	1	186	4	5	3	2	1	0	0	0	0	0	0	1	0	12	1.73	25.5	20.5	8	-0.24
26	2	25	15053	1	0	0	1	186	4	5	3	2	1	0	0	0	0	0	0	1	0	12.5	1.61	25.5	20.5	8	0.52
27	3	35	15053	1	10	5	1	186	4	5	3	2	1	0	0	0	0	0	0	1	0	13	1.87	25.5	20.5	8	0.52
28	3	30	15053	1	10	5	1	186	4	5	3	2	1	0	0	0	0	0	0	1	0	13.5	2.13	25.5	20.5	8	0.52
29	3	40	15053	1	25	0	1	186	4	5	3	2	1	0	0	0	0	0	0	1	0	14	2.39	25.5	20.5	8	0.52
30	2	25	15053	1	0	0	1	186	4	5	3	2	1	0	0	0	0	0	0	1	0	14.5	2.65	25.5	20.5	8	0.52
31	3	40	15053	1	0	5	3	186	4	5	3	2	0	0	1	0	0	0	0	1	0	15	2.91	25.5	20.5	8	0.20
32	3	50	15053	1	15	0	1	186	4	5	3	2	1	0	0	0	0	0	0	1	0	15.5	3.01	25.5	20.5	8	0.20
33	3	30	15053	1	20	0	3	186	4	5	3	2	0	0	1	0	0	0	0	1	0	16	3.11	25.5	20.5	8	0.20
34	1	5	15053	1	0	0	1	186	4	5	3	2	1	0	0	0	0	0	0	1	0	16.5	3.21	25.5	20.5	8	0.20
35	2	10	15053	1	0	0	1	186	4	5	3	2	1	0	0	0	0	0	0	1	0	17	3.31	25.5	20.5	8	0.20
36	2	10	15053	1	0	0	1	186	4	5	3	2	1	0	0	0	0	0	0	1	0	17.5	3.41	25.5	20.5	8	0.20
37	3	30	15053	1	0	0	1	186	4	5	3	2	1	0	0	0	0	0	0	1	0	18	3.51	25.5	20.5	8	0.00
38	2	25	15053	1	0	0	1	186	4	5	3	2	1	0	0	0	0	0	0	1	0	18.5	3.51	25.5	20.5	8	0.00
39	2	15	15053	1	0	0	1	186	4	5	3	2	1	0	0	0	0	0	0	1	0	19	3.51	25.5	20.5	8	0.00
40	2	20	15053	1	10	0	1	186	4	5	3	2	1	0	0	0	0	0	0	1	0	19.5	3.51	25.5	20.5	8	0.00
41	2	20	15053	1	0	0	1	186	4	5	3	2	1	0	0	0	0	0	0	1	0	20	3.51	25.5	20.5	8	0.00
42	2	20	15053	1	0	0	3	186	4	5	3	2	0	0	1	0	0	0	0	1	0	20.5	3.51	25.5	20.5	8	0.00
43	1	5	15053	1	5	0	3	186	4	5	3	2	0	0	1	0	0	0	0	1	0	21	3.51	25.5	20.5	8	0.00
44	3	40	15053	1	25	0	1	186	4	5	3	2	1	0	0	0	0	0	0	1	0	21.5	3.51	25.5	20.5	8	0.00
45	2	25	15053	1	5	0	1	186	4	5	3	2	1	0	0	0	0	0	0	1	0	22	3.51	25.5	20.5	8	0.00
46	3	35	15053	1	35	0	1	186	4	5	3	2	1	0	0	0	0	0	0	1	0	22.5	3.51	25.5	20.5	8	0.00
47	2	10	15053	1	0	0	1	186	4	5	3	2	1	0	0	0	0	0	0	1	0	23	3.51	25.5	20.5	8	0.00
48	3	40	15053	1	0	0	1	186	4	5	3	2	1	0	0	0	0	0	0	1	0	23.5	3.51	25.5	20.5	8	0.00
49	1	5	15053	1	0	0	1	186	4	5	3	2	1	0	0	0	0	0	0	1	0	24	3.51	25.5	20.5	8	0.00
50	1	5	15053	1	0	0	1	186	4	5	3	2	1	0	0	0	0	0	0	1	0	24.5	3.51	25.5	20.5	8	0.00
51	2	20	15053	1	30	0	4	186	4	5	3	2	0	0	0	1	0	0	0	1	0	25	3.51	25.5	20.5	8	0.00
52	1	5	15053	1	0	0	1	186	4	5	3	2	1	0	0	0	0	0	0	1	0	25.5	3.51	25.5	20.5	8	0.00
53	2	20	15053	1	0	0	1	186	4	5	3	2	1	0	0	0	0	0	0	1	0	26	3.51	25.5	20.5	8	0.00
54	2	20	15053	1	15	0	1	186	4	5	3	2	1	0	0	0	0	0	0	1	0	26.5	3.51	25.5	20.5	8	-0.80
55	3	30	15053	1	0	0	1	186	4	5	3	2	1	0	0	0	0	0	0	1	0	27	3.11	25.5	20.5	8	0.36
56	3	30	15053	1	0	0	1	186	4	5	3	2	1	0	0	0	0	0	0	1	0	27.5	3.29	25.5	20.5	8	0.34
57	2	25	15053	1	0	0	1	186	4	5	3	2	1	0	0	0	0	0	0	1	0	28	3.46	25.5	20.5	8	0.36
58	1	0	15053	1	0	0	1	186	4	5	3	2	1	0	0	0	0	0	0	1	0	28.5	3.64	25.5	20.5	8	0.34
59	1	0	15053	1	0	0	1	186	4	5	3	2	1	0	0	0	0	0	0	1	0	29	3.81	25.5	20.5	8	0.34
60	2	25	15053	2	0	0	1	306	5	5	3	2	1	0	0	0	0	0	0	0	1	0	0.31	20	13.5	11	0.30
61	3	30	15053	2	0	0	1	306	5	5	3	2	1	0	0	0	0	0	0	0	1	0.5	0.46	20	13.5	11	0.30
62	3	30	15053	2	0	0	1	306	5	5	3	2	1	0	0	0	0	0	0	0	1	1	0.61	20	13.5	11	0.30
63	2	25	15053	2	0	0	1	306	5	5	3	2	1	0	0	0	0	0	0	0	1	1.5	0.76	20	13.5	11	0.30
64	3	30	15053	2	0	0	1	306	5	5	3	2	1	0	0	0	0	0	0	0	1	2	0.91	20	13.5	11	0.30
65	3	35	15053	2	0	0	1	306	5	5	3	2	1	0	0	0	0	0	0	0	1	2.5	1.06	20	13.5	11	0.30
